id,name,url,author,style,finished,updateTime,bookIntro
14,职场新贵,http://book.zongheng.com/book/952663.html,一分子,都市娱乐,已完结,"更新时间 09-22 09:14",欢迎加入书友群：qq437347681。聊人生，谈理想，一个像家一样的地方。
15,一剑朝天,http://book.zongheng.com/book/792184.html,青涩的叶,武侠仙侠,已完结,"更新时间 09-15 12:55","十年磨一剑，霜刃未曾试。今日把示君，谁有不平事？ 聊天群号:230168483"
16,布衣青年闯天下,http://book.zongheng.com/book/1021124.html,津萨达瑞庆,奇幻玄幻,已完结,"更新时间 09-08 08:04","布衣青年意外获得神奇的能量，不仅可控万物，而且极具吸引力，从此幸运不断、桃花不断、责任不断…… “师父，神界在哪儿？我怎么看不到呢？” “你能看到电波信号吗？一样的，你的修为不够，是看不到神界的。” 一丝特殊的能量,一次偶然的灾祸。两尊大神的魂魄被吸引到了主角的身边，穿越进了他的脑袋里。 能量被激活，招蜂又引蝶；踏上修炼路，大神来相助；脚踩鬼门关，手托梦幻鼎；大神魂归位，拯救众生灵；揭开能量迷，玩转宇宙星。 本书讲述一个布衣青年心怀梦想、冲破宇宙规则的桎梏、勇闯宇宙各界、终成大神的狗血故事。"
17,剑守孤城,http://book.zongheng.com/book/874979.html,小楼卧听风雨,武侠仙侠,已完结,"更新时间 09-04 23:35",我族故地，怎能落入他族之手，不知几许，能灭那欺世魔族，收我河山！
18,末世救亡计划,http://book.zongheng.com/book/951498.html,病柳,科幻游戏,已完结,"更新时间 09-02 00:19",婆娑世界，一梦如是，泡影人间。也许现实的一切都只是一场荒唐而又真实的梦，我们或许会在一个时候醒来，我们也可能在某个时刻继续睡去，开始也是结束，也许结束才是开始？
19,大周内卫,http://book.zongheng.com/book/1018249.html,一人魂,历史军事,已完结,"更新时间 09-01 18:00",唐高宗晚年，武后已经成为大唐的实际权力掌控者，为了巩固自己的地位和势力，武后大肆镇压政敌，以及打压李家皇族，故而在朝廷中乃至江湖上结下了众多的仇怨。尤其以李氏一族和被残害致死的上官仪后人两股巨大的势力为代表，一心想寻找机会另立新君，除掉武后。一时间武后身边危机四伏，但是武后岂是平庸无能之辈，她虎视天下，洞若观火，建立了一个忠于自己的内卫组织，与敌对势力展开一场生死角逐，本书的故事由此展开。
20,亘古大世,http://book.zongheng.com/book/898191.html,小民书生,奇幻玄幻,已完结,"更新时间 09-01 13:50",我所推断的，便是真理；我所言语的，便是指令；悲而化风，怒而降雷，喜而落雨，笑而天地光明----瑾云仙令
21,天下无敌,http://book.zongheng.com/book/780119.html,么么,奇幻玄幻,已完结,"更新时间 08-31 23:58","后文明时代，地球灵气复苏，洪荒世界再临，旧的世界格局一夕之间分崩离析，人族险些亡族灭种。 有王者得进化天书，为初代进化者，籍此平定八荒异族，令得人族在这地球上占据了一寸之地，一个全新的纪元揭开神秘的一角。 “同阶无敌算个球啊？老子天下无敌。”叶昊死命忽悠。"
22,镇荒图,http://book.zongheng.com/book/929195.html,一叶初夏,奇幻玄幻,已完结,"更新时间 08-31 23:49",身负血海深仇，不料自己在复仇的道路上竟然对抗起了五大种族之一的血族，也发现了自己家族更深的秘密。因为曾让人恐惧过，被人冠以叛族的名声。他，在复仇的路上感觉越走越深。在实力，情人，兄弟，威胁，大义面前，他会做出什么样的选择呢？
23,全职镇守,http://book.zongheng.com/book/1073187.html,校区南门,都市娱乐,已完结,"更新时间 08-31 23:33",为了防止世界被破坏，为了守护宇宙的和平，我镇守一族的凡杨，对全宇宙宣布，不管你是仙神，还是妖魔鬼怪，一经发现有违规行为，将严惩不贷。
24,穿越之我在大唐开连锁,http://book.zongheng.com/book/989927.html,鑫健,历史军事,已完结,"更新时间 08-31 22:56","李柯，在路边草丛捡了一个手镯，这个手镯可以穿越到大唐和现代！从此他做起了生意…… 哎！走过路过不要错过，大诗人李柯又来卖货了！老兄！这是泡面……不多要，10两银子！哎，8点……5两、3点也行？啥？一两？卧槽，爱买不买！给那么少…… 最后，李柯开了一家超市…… 啥？刘尚书提亲？给他个面子，让他女儿做个妾吧！ 皇上提亲？我去……"
25,九登鬼宴,http://book.zongheng.com/book/801227.html,四六妖,奇幻玄幻,已完结,"更新时间 08-31 18:20",偶然成为猎捕亡魂的魂师，本来只想混口饭吃，结果发现这个诡异的第二世界并不简单，人心叵测，鬼计多端，误入鬼宴结果搭档惨死恶鬼之手，招募自己的猎魂公司又带着别样的目的，在这魂鬼的世界中又该何去何从，张嫌登宴杀鬼，下宴灭魂，追寻着魂师至高之境……
26,神珠传,http://book.zongheng.com/book/1005331.html,从小有个梦想,奇幻玄幻,已完结,"更新时间 08-31 17:03","男主夏明，满怀希望的飞升灵界，却是穿越到了一个奇怪的大陆，充满斗气与魔法，光怪陆离； 为了重回修仙界，他努力修行，却是进展缓慢，直到遇见了不该出现在此界的神珠； 因此，卷入了重重阴谋当中，狼狈如丧家之犬，却又机缘不断，涉险过关，稳稳的踩在命运的钢丝绳上......"
27,仙凡神宇,http://book.zongheng.com/book/994177.html,芷上草,武侠仙侠,已完结,"更新时间 08-27 02:16","一株与天地宇宙同生的青莲，一个万世孤清的凡人，当两道目光上下相对时，世间也就没有孤独了… 青莲证道，凡人开花！！ 不一样的仙侠，不一样的人生！！"
28,剑诛天尘,http://book.zongheng.com/book/693919.html,东方飒,奇幻玄幻,已完结,"更新时间 08-26 19:00",曾为天庭十君——无尘剑君的元尘替挚友报仇，遭受天庭追杀，身死道消，因传奇功法《神恩典》重生至武道之初，与挚友踏上复仇血路，殊不知背后隐藏着一代大能的惊天阴谋。
29,绝世战神,http://book.zongheng.com/book/873058.html,一杯假酒,奇幻玄幻,已完结,"更新时间 08-26 14:31",九霄大陆，强者为尊！秦辉获至尊灵根，修为大成！强者出，如众生之主，拥无上尊位，傲视天下！
30,却道寻常,http://book.zongheng.com/book/866183.html,三两才气,武侠仙侠,已完结,"更新时间 08-18 10:01","【网文大神再度执笔，20年仙侠巨制】 走出了倒悬天，登上了十四楼，肩扛着整个人世间，弱冠青衫也敢封天！"
31,九界仙尊,http://book.zongheng.com/book/513438.html,神出古异,武侠仙侠,已完结,"更新时间 08-16 10:25","他曾是仙门弃徒，遭人陷害，千年后重生醒来，凭不灭神魂，盖世神功，令八方风云乱，夺天地造化，掌生死之权，叱咤九境，昔日诸神为惧。 （悬疑仙侠剧情流，书友千人群：76089602。微信公众号：神出古异）"
32,十方乾坤,http://book.zongheng.com/book/752142.html,神出古异,武侠仙侠,已完结,"更新时间 08-16 10:19","仙元末年，万道争锋，一心想拜入第一仙门，却身怀魔道祖师所留奇书，顺是天意，逆为我命，此生无悔来过。 （古异第二本剧情流仙侠，书友群：76089602 微信公众号：神出古异。）"
33,地狱基石,http://book.zongheng.com/book/851465.html,导线,奇幻玄幻,已完结,"更新时间 08-11 13:55","开局一个蛋，一刀九九九...... 呃，原本该是顶级灵宠的蛋，因“意外”而成为了盘中餐。 尼亚星张家几代人被追杀，原本张根留以为此生自己也会如祖先们一样被追杀至死，直到遇见一个不着调的老流氓。 在修行的过程中，得知尼亚星十八万年无人飞升。为了解决此事，大闹冥界，引得诸神讨伐！ 本故事境界划分：元气、战士、战狂、战灵、战将、战侯、战王、战圣、战神。"
34,凶宅体验师,http://book.zongheng.com/book/1000394.html,肆北红尘,悬疑灵异,已完结,"更新时间 08-03 16:19","天上有日月，人间分阴阳。 人有生有死，生于人间，死归地府，自然循环。 住宅，不仅仅是有人住在其中。（书群732538542）"
35,南疆谜城,http://book.zongheng.com/book/904734.html,绝域轻骑,悬疑灵异,已完结,"更新时间 08-02 09:19",世间真的有孟获城吗？诸葛亮为什么要七擒七纵孟获？墨家为什么会消亡？寻龙点穴，逆天改命真的存在吗？东瀛人几十年孜孜不倦地追求，究竟有什么阴谋？看看本书的解答。
36,万界仙王,http://book.zongheng.com/book/711996.html,西门飘血,奇幻玄幻,已完结,"更新时间 07-31 18:00","当你可以穿梭时空，世界都将为你改变！ 叶枫在百年之前种下一颗种子，现世就多了一颗百年老药。在千年之前埋下一座神藏，现世敌人被坑的找不着北。在万年之前亲了一个姑娘，仙界的神女便等了他万年。 友情提示，本书不要在公共场合观看，否则你会笑的成为宇宙的焦点。"
37,一世剑仙,http://book.zongheng.com/book/882430.html,棠鸿羽,奇幻玄幻,已完结,"更新时间 07-31 17:44","【读者群：657590866】 在树宁镇相依为命的老者，却只是把少年当做一颗种子，三载苦熬，只为吃掉他 ...... 修行路上苦寒，世间诸国浩荡，有少年自黑暗中走来，大幕掀起，剑出鞘！"
38,武破诸天,http://book.zongheng.com/book/1086493.html,太白湖,奇幻玄幻,已完结,"更新时间 07-31 08:11","人生在世，只求活得痛快。 一柄寒月刀，斩尽天下敌。 QQ群：656325231"
39,万界宗,http://book.zongheng.com/book/947238.html,一尘染,奇幻玄幻,已完结,"更新时间 07-30 22:04",我有一座宗门，汇聚诸天万界的人杰。
40,校花的战神保镖,http://book.zongheng.com/book/1000513.html,降不住的男人,都市娱乐,已完结,"更新时间 07-27 21:21","战神回家，只为兄弟复仇。一声令下世界各方势力无不胆战心惊。 犯我华夏者，虽远必诛。"
41,玩家入侵,http://book.zongheng.com/book/947921.html,闪亮人生,科幻游戏,已完结,"更新时间 07-27 17:45",自己的祖爷爷的祖爷爷的祖爷爷居然是个仙人？林天看着眼前身娇体弱的小萝莉忍不住叹息。祖爷爷居然还留下了一个轮回小世界？里面引来了诸天万界无尽的侵略者？如何抵抗他们成了林天脑子里最大的难题？为了对得起自己的操守和继承祖业，林天决定，将轮回小世界改造成一个游戏世界，用人类自己的力量打败凶恶的侵略者，所谓人定胜天！
42,剑骨,http://book.zongheng.com/book/775517.html,会摔跤的熊猫,奇幻玄幻,已完结,"更新时间 07-26 14:03","霜杀百草的年代，少年走出菩萨庙，接过全天下最重的剑，向着人世间，斩开了一线光明。 已有完结《浮沧录》，等更可以一看。 …… …… 公众号：会摔跤的熊猫。（每一条留言评论都会认真看） 一群：剑骨-神仙居：903405682。（已满） 二群：剑骨-灞都城：251622532。（欢迎加入） VIP群【莲阁】：549974786。（进群需要提一个舵主粉丝星值。）"
43,都市奇门相师,http://book.zongheng.com/book/1013930.html,一根麦芽糖,都市娱乐,已完结,"更新时间 07-23 11:26","（新书《都市玄门医仙》已发，求支持，求推荐，求收藏！） 奇门者，通古知今，有鬼神莫测之能也！ 且看意外获得太衍圣宗传承的穷小子苏哲，如何依靠奇术术法，演绎出一段传奇之旅！ （每天固定凌晨0点，中午十二点更新。偶尔不定时加更！）"
44,无边神力,http://book.zongheng.com/book/871970.html,梦海沉浮,都市娱乐,已完结,"更新时间 07-15 18:43",当我降临这个世界，我就是这个世界的规则。
45,灵云纪元,http://book.zongheng.com/book/981148.html,HDST白灵,奇幻玄幻,已完结,"更新时间 07-12 21:51","天地不仁以万物为刍狗，愿献此身以寒霜之心冻世间之不义，以不灭之躯破万物之定律，以双生之魂扰神魔之谬论。 乱天地，震千军，破桎梏之枷锁，斩命运之乾坤！ 群号：616609228"
46,风水小相士,http://book.zongheng.com/book/1058484.html,了无忧,都市娱乐,已完结,"更新时间 07-11 07:00","“无事阁”继承人洛凡，奉师命入赘沐家，三年后离开，江湖波澜再起！ 麻衣神相，六爻卜卦，风水堪舆！集佛道儒三家之所长！ 重正道，诛邪士，驱邪煞！ 洛凡：要我出手？看小爷心情！ 交流群：QQ：582950890"
47,流浪在南明,http://book.zongheng.com/book/958573.html,人间十年,历史军事,已完结,"更新时间 07-09 21:10","一个资深格斗家穿越回到了南明，在明朝的末年，随波逐流，流浪在人间！ 为了佑护文明，为了保护弱小，秦楚用尽毕生精力和心血，可不仅仅只他一人来到了1645年，大陆的两端，也有穿越者闪现！"
48,变臣,http://book.zongheng.com/book/671319.html,宇十六,历史军事,已完结,"更新时间 07-07 09:27","农家少年，有如蓬蒿，雷劫之后，风云变幻鱼龙舞。 纯朴少年为守护家人、亲人、友人，不得不步步登高。一个变字，道尽多少无奈，回首望时，初心未改，世事早非。 有热心书友建群：825541271，欢迎加Q交流。"
49,都市之无敌天尊,http://book.zongheng.com/book/1000954.html,雾中闲人,都市娱乐,已完结,"更新时间 07-06 08:32","一名刚从大学毕业的青年，因为一个侵吞公款案件被抓进看守所，意外脑部被碰伤进入濒死状态。 在濒死状态中，他获得了无穷的科学知识，并因此拥有了强大的意识海，从而拥有了超人的记忆力和运算分析能力，从此他开始了一段不平凡的生命历程。 创立商业帝国，缔造军事神话，修习古武斩妖除魔成为星球的最强者；修行道法最终成为修道者，踏上了永恒之路，追寻宇宙的终极。 他和妻子破开一条蓝海星的空间隧道，来到传说中的昆仑仙境，最终成为昆仑域的守护者，并进入一个叫做——轮回之地的域界获取新的能力。 超越了中千世界他直接进入了大千世界，找到一个在太古时代的神秘种族传承。他迅速成长起来，成为大千世界的强者。并在他的引领下，识破了异宇宙的魔灵入侵，打败了魔灵，搅乱了异宇宙的入侵计划。 最终他成功飞升三十三天，建立玄天堂，成为维护宇宙正义，守护家园亲人的无敌天尊。在帝江宇宙最大的危机中，成功突破，战胜混沌神兽“倏”“忽”，保护"
50,带着军需来大明,http://book.zongheng.com/book/838024.html,浪子边城,历史军事,已完结,"更新时间 07-02 23:47","杨东带着军需仓库“穿”到了明朝.下决定要带着汉人走到世界最高点。 什么八一九五式自动步枪，什么火炮火箭炮，什么坦克直升机突然出现，可以想像冷兵器对战下会是什么场面。 汉人就应该站在这个世界的巅峰上，以吾为尊。 且看六少爷杨晨东如何一步步让汉人成为这个世界的主宰，成为真正的最尊贵人类。"
51,风雪圣皇,http://book.zongheng.com/book/915274.html,天妒魔君,奇幻玄幻,已完结,"更新时间 06-30 23:47","风雪无极路，大道无端寒。 庞大绚丽的冰雪圣兽受这道古朴咒语的召唤，自天穹云间探出了身躯。 十六年来，因为儿时的悲剧而流离半生的风清寒不甘沉沦于这不公的命运。 他决心抗争，凭着体内那道悲剧的源头，他踏上了反抗的道路，这条道路上尽是未知与危险，但风清寒别无选择。 要么，死在这条路上，尸骨无存；要么，就在这众多危险中寻求那唯一的希望与光明！"
52,破风者,http://book.zongheng.com/book/945129.html,沧峰傲雪,奇幻玄幻,已完结,"更新时间 06-30 18:59",一人一枪，一念善恶，不沾尘缘因果，只求逍遥半世。
53,网游之魔威太虚,http://book.zongheng.com/book/1076281.html,花名南浔,科幻游戏,已完结,"更新时间 06-30 10:00","东国神州，通天大妖，四方齐剿，为魔者扰乱天道，遁入轮回。漫天将星陨落，三界浩劫，天庭动荡，不曾窥见凡间，境外世界欲要趁机入主中原。 数千年至，妖星再现，巫鬼狂舞，邪魔趁乱入，亡魂铺满忘川。 恰此时，《幻世》降临……"
54,我有一棵世界树,http://book.zongheng.com/book/1035774.html,小小白泽,奇幻玄幻,已完结,"更新时间 06-30 09:12","别人在为神功神器神丹烦恼时候，叶金却是为了收取世界的气运，本源之力的事情烦恼。 从小千世界到完美世界，甚至还有幻想世界。"
55,开棺惊魂,http://book.zongheng.com/book/1039682.html,余元杰,悬疑灵异,已完结,"更新时间 06-30 01:33",那一夜，我推开了爷爷的棺材，原本以为早已化为枯骨的爷爷却是惊坐而起。“阿辰，你不该这么早叫醒我……”这一声阿辰，让我心肝乱颤。爷爷不是早已经死了很多年了吗？于是我与那邪祟斗智斗勇，开启了惊魂之路。
56,命运之传说旧约,http://book.zongheng.com/book/844942.html,苍理无心,奇幻玄幻,已完结,"更新时间 06-29 20:06","大陆历207年，一个平凡世界里，一个不平凡的我，低调的我，却有着不能低调的宿命，与这个世界相连的另一个世界，那里被成为命运之境，我却与其有着千丝万缕的关联。 　　我背负着沉重的宿命，多想抛开我的宿命，走过我平凡的人生，可是我的世界不允许我的选择，早已被注定的命运，却不知不觉间开始缓缓偏离了轨迹....."
57,儒武争锋,http://book.zongheng.com/book/578824.html,情殇孤月,奇幻玄幻,已完结,"更新时间 06-28 17:23","【蜻蜓FM有声书上亿点击火爆原著，读者群89798139，公众号搜“情殇孤月”】千年前穿越异世，成就一代儒圣，却遭武帝暗算身陨。千年后再世重生，武帝屠灭儒道传承，独尊天下，飞升天外之天。 三世轮回，秦枫面对武帝神像，握紧手中剑：“天外天重逢之日，便是你血债血偿，身死道消之时！”"
58,我老婆是NPC,http://book.zongheng.com/book/881136.html,一包烟的时间,科幻游戏,已完结,"更新时间 06-24 17:11",一个身世显赫的网游公司技术员在一次聚餐之后，意外遇到了一个改变他一生的奇怪生物。。。。。。
59,传奇机师,http://book.zongheng.com/book/838475.html,树风随影,科幻游戏,已完结,"更新时间 06-21 02:26",我的后来者们，不要畏惧！也不要害怕！虽然这条路上充满了恐怖的未知，但传奇的荣耀将永远与你们同在！我们———也将与你们同在！
60,机甲屠魔录,http://book.zongheng.com/book/994714.html,剑言散人,科幻游戏,已完结,"更新时间 06-16 15:15","钢铁狂潮，群魔乱舞，诸葛耀重生回十八岁，再续屠魔征途。启明星上，一个机甲帝国正在抵抗另一个魔兽文明的入侵，正在岌岌可危的时候，一个救世主般的大英雄出场了。 本着一拳打趴魔神级狂兽人，一脚踹倒百万魔人潮的伟大目标，再一次踏上了机甲。 他排除万难，不断的战斗，快速的提升着自己。在击垮一个又一个敌方势力后，大力发展军团业，成功的振兴了家族。面对汹涌而来的百万魔兽人，他开启钢铁狂潮模式，带领着帝国走向胜利。 拳头硬就是道理，一言不合就开打，不打不相识，越打实力提前的越快。 一开始的我才碎石一层的力量？没关系，我照样吊打能碎石三层力量的狼人。"
61,修行在大宋,http://book.zongheng.com/book/783798.html,沐飞尘,奇幻玄幻,已完结,"更新时间 06-13 20:07","这个世界与那个世界，有很多不同的地方，但人心是一样的，有好人有坏人，有大奸大恶也有大善大贤。 欢迎加我QQ：657726011"
62,巅峰仙道,http://book.zongheng.com/book/856488.html,寒梅惊雪,奇幻玄幻,已完结,"更新时间 06-11 20:23",【QQ群号805640539】我修的道，在苍穹之上！我成的仙，在巅峰之上！我修有情道，不问长生问本心，不问苍天问心魂。漫漫修行，终步入巅峰仙道，与天地比寿，与日月齐光！
63,昆仑小师叔,http://book.zongheng.com/book/967301.html,火炉糖粥,武侠仙侠,已完结,"更新时间 06-10 16:04","方圆之内，妖魔不当。身前三尺，有我无敌。 天地之法，执行不怠。十年磨剑，仙道不孤。"
64,牧纪元,http://book.zongheng.com/book/963606.html,走廊仙君,奇幻玄幻,已完结,"更新时间 06-09 21:56","身附逆天血脉，却被人下蛊资质不显甚至活不过二十岁... 一个神秘的黑珠子屡次拯救了他的性命，珠子的来历牵扯出了一段惊天秘密... 这是一位少年历经曲折成就非仙非神非妖非魔之姿的征途，得太上之力证超脱。 “接下来就是我的纪元...”"
65,至尊豪婿,http://book.zongheng.com/book/947940.html,正派人,都市娱乐,已完结,"更新时间 06-05 06:10","母子二人被赶出家族多年，多年之后，吕泽已为一小家族的小女婿，有着漂亮老婆和自己的烧饼事业，这一天在街边卖着烧饼拒绝了爷爷邀请回家族的说辞。 但他万万没想到，出席一场宴会之后，最终吕泽选择回归家族，并在古武的修炼之中，逐渐成长！"
66,繁星书士,http://book.zongheng.com/book/1060594.html,李昆仑,武侠仙侠,已完结,"更新时间 06-04 16:35","悠悠青陆，禹禹独行，落落飞鸿，蓬莱渐翼。 我就是求道之人，陆禹。 （书友交流QQ群971520550，微博：作者李昆仑）"
67,异界魔头在都市,http://book.zongheng.com/book/929151.html,会抓猫的鱼,都市娱乐,已完结,"更新时间 06-03 00:16",异界大魔头重生都市，成了上门女婿，却被赶了出来。看大魔头一怒如何在都市掀起星风雪雨。欺欺古武。捏捏忍者。拳打狼人，脚踢吸血鬼。......
68,我打的就是主角,http://book.zongheng.com/book/983644.html,狡黠笑,奇幻玄幻,已完结,"更新时间 06-01 22:28","以身证道是为神，以法正道是为仙，双头并进称神仙！ 　　胡威：“你说你是主角？抱歉啊！我打的就是主角。” 　　胡威转世之后，不想惹是生非，却拥有一个自爆系统，想不惹事都难，还经常被‘主角’盯上。 　　系统：“抱歉，我是故意的！”"
69,狂浪龙婿,http://book.zongheng.com/book/917389.html,迟墨烽烟,都市娱乐,已完结,"更新时间 06-01 21:30","重生在世，魂投赘婿之身，真龙苏醒踏上逆袭之路.....我浪我最贱。 小企鹅：979168440"
70,末日岩帝,http://book.zongheng.com/book/660107.html,墨来疯,科幻游戏,已完结,"更新时间 06-01 16:09","末日开启，地球从电子科技时代，进入异能晶力时代。 少年身负奇石，踏巅峰帝道！"
71,异者神术,http://book.zongheng.com/book/863687.html,银魅哈特,奇幻玄幻,已完结,"更新时间 06-01 14:04",一场奇遇让平凡的2个人产生了不同的能力，从未接触过的新世界的大门对他们打开，异术究竟是什么，隐藏在世界背后的事情还有什么是别人所不知道的。
72,浮生应作长歌行,http://book.zongheng.com/book/1032318.html,连楚阁,武侠仙侠,已完结,"更新时间 06-01 08:36",花开见我，我见如来。本来只想好好活着的少年，却被卷进了时代的洪流中，浮生应行九万里，纵马高歌世无双。交流群：1046637496
73,隐市医仙,http://book.zongheng.com/book/1085395.html,流言微寒,都市娱乐,已完结,"更新时间 06-01 08:04","绝代神医隐于乾州，甘愿给人当上门女婿，为隐藏身份，他被人骂了五年的废物。 所有人都看不起他，唯独老婆对她还抱有一丝希望。 终于，时机到了，他终于以摆脱废物的身份，扬眉吐气了……"
74,剑问星辰,http://book.zongheng.com/book/938561.html,ZY小俊杰,奇幻玄幻,已完结,"更新时间 05-31 21:06","我以星辰为名，以皓月为剑。 一剑在手，问天下何人敢敌？ （书友群:799701547）"
75,踏世长歌行,http://book.zongheng.com/book/897961.html,路朝阳,武侠仙侠,已完结,"更新时间 05-31 19:13",一朵花开，世人观花悟道，一声轻叹，天启大陆分崩离析，一记长歌，神鬼入世，一位骑在马上的书生，摇头晃脑，建立秩序。一场黑夜，一位少女，一位呱呱落地的婴儿，一盘以天地为棋子的局。前有明风踏步生歌，携九人看尽世间繁华。后有明动披荆斩棘，与九人拨云见月。千古与今朝交织，陈酒与新酿共饮，白雪与黑夜辉映，世间很奇怪，白皙如玉的人儿偏要充当黑脸，不怒自威的汉子却挂上了白脸，一声笑，一声叹，明动肩抗秀刀，脚踏七情，一路朝阳。
76,大灾变时代,http://book.zongheng.com/book/1039449.html,团猪,科幻游戏,已完结,"更新时间 05-31 18:34",重生灾变时代，所有的一切都将改变，重活这一世，注定要活的精彩！
77,破天圣尊,http://book.zongheng.com/book/1042206.html,月华泪,奇幻玄幻,已完结,"更新时间 05-31 14:01","和穿越者结拜夺天下，和红颜逆天改命破苍天。 这是一个玄门的世界，领悟玄门方为至尊，看主角一人一剑笑傲天地成就万界独尊。"
